place,lat,lon
Zundert,51.48587835,4.654245796859225
Zevenbergen,51.6468,4.6105971
Tilburg,51.585618749999995,5.066061908648313
The Hague,52.0799838,4.3113461
London,51.5073219,-0.1276474
Paris,48.8588897,2.3200410217200766
Dordrecht,51.7958812,4.6779351
Amsterdam,52.3727598,4.8936041
Borinage,50.40551965,3.8577625107688713
Brussels,50.8465573,4.351697
Etten,51.9161169,6.3404632
The Hague,52.0799838,4.3113461
Drenthe,52.9067922,6.6368423
Nuenen,51.48603,5.544006988824241
Antwerp,51.2211097,4.3997081
Paris,48.8588897,2.3200410217200766
Arles,43.6776223,4.6309653
Saint-Remy,48.3476386,6.8283249
Auvers-sur-Oise,49.0701875,2.1718687
